avgRateByFrame,avgRateBytes,maxRate,minRate,avgRate,avgDt,estAvgBufferTime,changes,queueLength,queueLengthInBytes,duration_min,ul_txPackets,ul_txBytes,ul_txOffered,ul_xBytes,ul_rxOfferedthroughput,ul_meanDelay,ul_meanJitter,ul_rxPackets,ul_pdcp_nTxPDUs,ul_pdcp_TxBytes,ul_pdcp_nRxPDUs,ul_pdcp_RxBytes,ul_pdcp_delay_s,ul_pdcp_stdDev_s,ul_pdcp_min_s,ul_pdcp_max_s,ul_pdcp_PduSize,ul_pdcp_stdDev,ul_rlc_nTxPDUs,ul_rlc_TxBytes,ul_rlc_nRxPDUs,ul_rlc_RxBytes,ul_rlc_delay_s,ul_rlc_stdDev_s,ul_rlc_min_s,ul_rlc_max_s,ul_rlc_PduSize,ul_rlc_stdDev,ul_rlc_min,ul_rlc_max,IMSI,cellId,rnti,dl_mac_mcs,dl_mac_TbSize,index_x,sinr,dl_pathLoss_dB,ul_pathLoss_dB,ul_tbSize,ul_mcs,ul_rv,ul_SINR_dB,ul_CQI,ul_corrupt,ul_rv_max,dl_tbSize,dl_mcs,dl_rv,dl_SINR_dB,dl_CQI,dl_corrupt,UL_DCI_rxMac,BSR_txMac,SR_txMac,UL_DCI_rxPhy_x,DL_DCI_rxPhy_x,qoe_YinX_v1,qoe_YinX_v2,nodes
1699,79116,3080,1547,10184,36.8,11.02,6,1021,11150,461,22350,13116696,11.51,13059165,11.39,42.88,0.544,22240,22350,13161388,22240,13103661,0.04285,0.01894,0.00343,0.08276,589.0,17.03,5780,13153865,5776,13150661,0.002611,0.0002663,0.00217,0.00796,2276,873.5,27,9656,41,9,5,27.88,1851.0,364,57.78,-75.25,-75.25,2354,28.0,0.002,36.66,0.0,0.002,1,1851.0,27.88,0.0,57.8,15.0,0.0,6204,6204,109,54720,4064,33.5,20.62,9
2388,105955,4220,1547,12660,45.8,12.77,2,1178,13150,352,26880,15775929,13.79,15701501,13.695,32.38,0.3965,26750,26880,15829691,26750,15755009,0.03238,0.012474,0.003143,0.066,589.0,17.34,4852,15815930,4852,15806282,0.002634,0.0005455,0.00217,0.00796,3258,854.0,27,19310,60,17,4,27.94,2130.0,5279,49.8,-76.1,-76.1,3324,27.98,0.011,32.7,0.01,0.011,1,2130.0,27.94,0.0,49.8,15.0,0.0,5372,5372,121,42940,3212,44.6,27.52,7
2308,103962,4220,1245,17020,80.7,16.77,2,1626,18770,227,36450,21391812,18.75,21391812,18.72,26.06,0.275,36450,36450,21464708,36450,21464708,0.02606,0.00835,0.00343,0.0445,589.0,16.9,4480,21528508,4480,21528508,0.002752,7.57e-05,0.002314,0.002956,4804,1488.0,27,19310,42,17,4,27.95,2442.0,3763,57.9,-75.3,-75.3,4884,27.98,0.0,36.72,0.0,0.0,0,2442.0,27.95,0.0,57.9,15.0,0.0,5104,5104,163,30000,2818,56.5,34.88,5
2288,103105,4220,1547,15416,72.06,15.71,3,1523,17250,208,33470,19650692,17.19,19625996,17.12,33.03,0.355,33440,33470,19717652,33440,19692872,0.03302,0.01326,0.00307,0.0623,589.0,17.19,4530,19777668,4524,19769624,0.003582,0.002209,0.00217,0.01282,4370,2026.0,15,19310,24,9,2,27.94,2448.0,3981,45.62,-82.2,-82.2,4524,27.9,0.166,26.95,0.17,0.166,2,2452.0,27.94,0.0,45.62,15.0,0.0,6030,6030,152,29100,2584,53.6,33.1,5
2388,106316,4220,1547,13736,53.25,13.65,2,1290,14664,328,29520,17322844,15.14,17246652,15.05,36.56,0.4158,29390,29520,17381880,29390,17305428,0.03656,0.015305,0.007786,0.0688,589.0,18.12,5440,17379782,5436,17370144,0.003088,0.001006,0.00217,0.00896,3194,1835.0,7,19310,44,13,6,27.89,2092.0,5351,53.9,-79.06,-79.06,3418,27.98,0.044,36.06,0.04,0.044,1,2092.0,27.9,0.0,53.9,15.0,0.0,6244,6244,136,40160,3030,47.72,29.45,7
1699,77647,3080,1547,10270,35.2,10.91,6,999,11250,522,22640,13285009,11.59,13184121,11.516,33.62,0.4058,22460,22640,13330279,22460,13229047,0.0336,0.01273,0.002714,0.063,589.0,17.8,4240,13272223,4240,13272223,0.00228,0.0003963,0.00217,0.00796,3130,386.2,3,6430,81,17,1,27.9,2516.0,720,46.25,-81.44,-81.44,3170,27.98,0.004,31.31,0.0,0.004,1,2520.0,27.9,0.0,46.25,15.0,0.0,4670,4670,110,55600,4136,33.5,20.62,9
2204,103361,4220,1547,12220,44.2,11.9,3,1126,12800,352,26160,15351954,13.63,15351954,13.586,35.7,0.4387,26160,26160,15404268,26160,15404268,0.03568,0.01427,0.00307,0.0704,589.0,17.38,4780,15454116,4780,15454116,0.00318,0.001621,0.00217,0.00796,3234,795.0,15,16100,67,19,4,27.94,2088.0,5286,46.97,-80.06,-80.06,3334,27.9,0.094,30.6,0.09,0.094,1,2090.0,27.94,0.0,46.97,15.0,0.0,5750,5750,127,41700,3092,40.8,25.16,7
1581,72658,2484,1547,11050,42.38,11.82,5,1124,12560,413,24400,14318261,12.49,14285465,12.48,40.3,0.5054,24340,24400,14367051,24340,14334143,0.04028,0.0189,0.005787,0.0766,589.0,17.48,5656,14383429,5656,14383429,0.0029,0.000708,0.00217,0.00796,2542,1786.0,27,19310,2,1,7,27.73,1760.0,6510,47.88,-79.9,-79.9,2704,27.98,0.019,31.0,0.02,0.019,1,1757.0,27.73,0.019,47.88,14.94,0.019,6240,6240,123,45500,3276,35.6,21.94,8
2008,94298,3840,1547,8920,24.33,9.06,4,806,9016,551,19360,11368028,9.914,11267140,9.85,47.94,0.65,19200,19360,11406762,19200,11305530,0.0479,0.02321,0.00343,0.1109,589.0,16.5,5892,11347886,5892,11347886,0.002558,0.0005264,0.00217,0.00796,1926,695.0,18,16100,46,9,5,27.86,1834.0,1364,50.84,-76.94,-76.94,1978,27.98,0.01,33.6,0.01,0.009,1,1830.0,27.86,0.0,50.84,15.0,0.0,6292,6292,94,64480,3750,29.27,17.98,10
2388,107611,4220,1547,12970,47.53,12.75,2,1194,13660,342,27900,16378645,14.29,16345717,14.28,32.94,0.391,27860,27900,16434461,27860,16401421,0.03293,0.01284,0.002928,0.06116,589.0,17.36,5024,16454350,5024,16454350,0.002798,0.0004935,0.00217,0.00796,3274,832.5,27,19310,66,19,5,27.94,2224.0,5623,49.3,-79.8,-79.8,3332,27.98,0.009,34.3,0.01,0.008,1,2220.0,27.94,0.0,49.3,15.0,0.0,5536,5536,127,42750,3272,44.6,27.52,7
